Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Bugatti,Chiron,2021,8,1500,1180,2.4,"30,00,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,000"
McLaren,570S,2021,3.8,562,443,3.2,"1,92,500"
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"1,90,000"
Lamborghini,Urus,2021,4,641,627,3.6,"2,22,000"
Ferrari,Roma,2021,3.9,611,561,3.3,"2,22,000"
Audi,RS7,2021,4,591,590,3.5,"1,15,000"
BMW,M2,2022,3,405,406,4.2,"59,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,100"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"4,17,826"
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"3,04,995"
Bentley,Continental GT,2021,6,626,664,3.6,"2,20,300"
Audi,RS7,2022,4,591,590,3.5,"1,14,000"
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"2,39,100"
McLaren,570S,2021,3.8,562,443,3.1,"1,92,500"
BMW,M2,2022,3,405,406,4,"58,900"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290"
Ferrari,Portofino,2021,3.9,592,560,3.5,"2,19,750"
Porsche,Panamera Turbo S,2022,4,620,604,2.9,"1,87,700"
Lamborghini,Urus,2021,4,641,627,3.6,"2,22,004"
Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350"
Aston Martin,Vantage,2021,4,503,505,3.6,"1,46,000"
Audi,S5,2022,3,349,369,4.4,"52,500"
Porsche,Cayman,2022,2.5,365,309,4.5,"68,900"
Lamborghini,Aventador,2021,6.5,730,507,2.8,"5,17,770"
Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"2,76,550"
Audi,TT RS,2021,2.5,394,354,3.6,"67,600"
McLaren,570S,2021,3.8,562,443,3.1,"1,92,500"
BMW,Z4 M40i,2022,3,382,369,3.9,"63,700"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"2,21,580"
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000"
Ford,Mustang Mach 1,2021,5,480,420,4,"51,720"
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790"
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550"
Lamborghini,Urus,2021,4,641,627,3.5,"2,18,009"
Ferrari,Roma,2021,3.9,612,561,3.3,"2,22,620"
Audi,RS 3,2022,2.5,401,369,3.6,"56,200"
McLaren,GT,2021,4,612,465,3.2,"2,00,000"
BMW,M2 CS,2022,3,444,406,3.8,"84,595"
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Aston Martin,DB11,2022,4,503,513,3.7,"2,04,100"
Bentley,Continental GT,2021,6,626,664,3.4,"2,20,300"
Bugatti,Chiron,2021,8,1500,1180,2.4,"30,00,000"
Dodge,Viper,2017,8.4,645,600,3.3,"1,20,000"
Jaguar,F-Type,2022,3,380,339,4.9,"69,900"
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"30,00,000"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,950"
Maserati,GranTurismo,2020,4.7,454,384,4.8,"1,50,000"
McLaren,570S,2020,3.8,562,443,3.1,"2,04,550"
Pagani,Huayra,2020,6,720,738,3,"27,00,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,900"
Rimac,C_Two,2022,N/A,1914,1696,1.9,"24,00,000"
Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"3,30,000"
Shelby,Cobra,1965,7,435,440,4.2,"10,00,000"
Tesla,Model S Plaid,2021,N/A,1020,1050,1.98,"1,31,190"
Toyota,GR Supra,2022,3,382,368,3.9,"43,090"
TVR,Griffith,2022,5,500,479,3.8,"1,23,500"
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"34,00,000"
Porsche,718 Cayman,2021,2,300,280,4.5,"61,500"
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"5,18,000"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"5,07,000"
Audi,RS 6,2021,4,591,590,3.5,"1,09,000"
McLaren,GT,2021,4,612,465,3.1,"2,10,000"
BMW,M2 CS,2022,3,444,406,3.8,"84,595"
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"2,28,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000"
Porsche,Taycan,2021,Electric,750,774,2.6,"1,85,000"
Lamborghini,Urus,2021,4,641,627,3.6,"2,22,004"
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"2,76,550"
Audi,RS 3,2022,2.5,401,354,3.5,"56,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,91,000"
BMW,M5,2022,4.4,600,553,3.2,"1,04,000"
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000"
Porsche,Taycan,2022,2,402,254,5.1,"81,250"
Lamborghini,Aventador,2021,6.5,730,509,2.9,"5,17,700"
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"3,30,000"
Audi,RS 6 Avant,2021,4,591,590,3.5,"1,09,000"
McLaren,600LT,2021,3.8,592,457,2.8,"2,42,500"
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000"
BMW,M4,2022,3,473,406,4.1,"72,800"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000"
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000"
Ford,GT,2022,3.5,660,550,2.9,"5,00,000"
Nissan,370Z,2021,3.7,332,270,4.9,"30,090"
Porsche,Panamera,2022,2.9,325,332,5.3,"87,200"
Lamborghini,Urus,2021,4,641,626,3.5,"2,18,000"
Bugatti,Chiron,2021,8,1500,1180,2.3,"30,00,000"
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"2,74,280"
Audi,RS 7,2021,4,591,590,3.5,"1,14,000"
McLaren,570S,2021,3.8,562,443,3.1,"1,91,000"
Aston Martin,Vantage,2022,4,503,505,3.5,"1,42,086"
Jaguar,F-Type,2022,5,575,516,3.5,"1,03,200"
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"1,77,700"
Lamborghini,Aventador S,2021,6.5,729,509,2.9,"4,17,650"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Audi,RS7,2022,4,591,590,3.5,"1,15,045"
McLaren,600LT,2021,3.8,592,457,2.9,"2,56,500"
BMW,M2 Competition,2022,3,405,406,4,"59,895"
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"1,52,500"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995"
Ford,GT,2022,3.5,660,550,2.9,"5,00,000"
Porsche,Taycan Turbo S,2021,N/A,750,774,2.6,"1,85,000"
Lamborghini,Urus,2021,4,641,627,3.2,"2,18,009"
Ferrari,812 Superfast,2021,6.5,789,530,2.9,"3,63,730"
Audi,R8 Spyder,2022,5.2,562,406,3.5,"1,83,300"
McLaren,GT,2021,4,612,465,3.1,"2,10,000"
BMW,M4,2022,3,473,406,4.1,"73,795"
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"1,83,000"
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995"
Aston Martin,DB11,2022,5.2,630,516,3.5,"2,07,000"
Bentley,Continental GT,2022,6,626,664,3.5,"2,03,825"
Jaguar,F-Type R,2021,5,575,516,3.5,"1,03,200"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,00,200"
Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150"
Audi,RS5,2022,2.9,444,443,3.7,"77,250"
BMW,M2 Competition,2021,3,405,406,4,"58,900"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490"
Ford,GT,2022,3.5,660,550,2.8,"5,00,000"
Lexus,LC 500,2022,5,471,398,4.4,"92,950"
Maserati,GranTurismo,2020,4.7,454,384,4.8,"1,50,400"
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820"
Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"3,30,000"
Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170"
Tesla,Model S Plaid,2022,N/A,1020,1050,1.9,"1,31,190"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,000"
Lamborghini,Aventador,2021,6.5,729,507,2.9,"3,93,695"
Ferrari,Portofino,2022,3.9,591,413,3.3,"2,18,750"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
McLaren,600LT,2021,3.8,592,457,2.8,"2,56,500"
BMW,M2,2022,3,405,406,4,"58,900"
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"1,18,500"
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"40,590"
Ford,Mustang Mach 1,2021,5,480,420,4,"52,720"
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"45,000"
Porsche,Panamera Turbo,2022,4,620,604,3.1,"1,74,300"
Lamborghini,Urus,2021,4,641,627,3.2,"2,22,004"
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"6,25,000"
Audi,TT RS,2022,2.5,394,354,3.4,"67,895"
McLaren,GT,2021,4,612,465,3.1,"2,10,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"62,290"
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"3,04,995"
Jaguar,F-Type R,2021,5,575,516,3.5,"1,03,200"
Lexus,LC 500,2022,5,471,398,4.4,"93,050"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,01,200"
BMW,M2 Competition,2022,3,405,406,4,"59,895"
Audi,RS 5 Coupe,2021,2.9,444,443,3.7,"75,100"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195"
Lotus,Evora GT,2022,3.5,416,317,3.8,"1,05,000"
McLaren,GT,2021,4,612,465,3.1,"2,11,000"
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"2,75,000"
Bugatti,Chiron,2021,8,1500,1180,2.4,"29,98,000"
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"30,00,000"
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"6,25,000"
Lamborghini,Aventador SVJ,2020,6.5,770,531,2.8,"5,73,966"
Rimac,C_Two,2022,Electric,1914,1732,1.85,"24,00,000"
Pagani,Huayra Roadster BC,2021,6,791,774,2.5,"35,00,000"
Pininfarina,Battista,2022,Electric,1874,1696,1.9,"25,00,000"
Acura,NSX,2022,3.5,573,476,2.9,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,46,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,19,800"
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"70,000"
Jaguar,F-Type,2022,2,296,295,5.4,"61,600"
Kia,Stinger,2022,3.3,368,376,4.7,"52,200"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,450"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,34,300"
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"1,02,550"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,400"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
BMW,M5,2022,4.4,600,553,3.2,"1,03,500"
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"69,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Lamborghini,Aventador,2021,6.5,770,531,2.8,"4,17,826"
McLaren,Artura,2021,3,671,531,3,"2,25,000"
Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,"2,47,500"
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790"
Porsche,Taycan,2022,Electric,616,774,2.6,"79,900"
Tesla,Model S,2022,Electric,1020,1050,1.98,"1,19,000"
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"3,07,820"
Bentley,Continental GT,2022,4,542,568,3.4,"2,07,825"
Bugatti,Chiron,2021,8,1479,1180,2.3,"29,98,000"
McLaren,570S,2021,3.8,562,443,3.1,"2,02,500"
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"1,85,000"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,826"
Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"2,76,550"
Audi,RS 7,2022,4,591,590,3.5,"1,14,000"
BMW,M2 CS,2022,3,444,406,4,"84,595"
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,"2,75,000"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Jaguar,F-Type,2021,5,575,516,3.5,"1,03,200"
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950"
Maserati,GranTurismo,2022,4.7,454,384,4.8,"1,34,300"
McLaren,765LT,2021,4,755,590,2.8,"3,58,000"
Nissan,370Z,2021,3.7,332,270,5,"30,000"
Pagani,Huayra,2021,6,730,738,3,"26,00,000"
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"1,80,000"
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"1,31,100"
Aston Martin,DB11,2021,4,503,513,4,"2,01,495"
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"82,190"
Lotus,Evora,2021,3.5,416,317,3.8,"96,950"
Acura,NSX,2021,3.5,573,476,2.7,"1,59,495"
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,950"
Bentley,Continental GT,2021,6,626,664,3.3,"2,02,500"
Jaguar,F-Type,2022,3,380,339,4.9,"70,100"
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"30,00,000"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Maserati,GranTurismo,2022,4.7,454,384,4.8,"1,32,795"
McLaren,GT,2022,4,612,465,3.1,"2,15,500"
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"80,900"
Porsche,718 Cayman,2021,2,300,280,4.9,"59,900"
Rolls-Royce,Wraith,2021,6.8,624,605,4.3,"3,30,000"
Tesla,Roadster,2022,-,1000+,-,1.9,"2,00,000"
Chevrolet,Camaro SS,2021,6.2,455,455,4,"40,000"
Ford,GT,2022,3.5,660,550,3,"5,00,000"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Aston Martin,DB11,2021,5.2,630,516,3.7,"2,09,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,02,500"
Bugatti,Chiron,2021,8,1500,1180,2.4,"30,00,000"
Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,"67,500"
Jaguar,F-Type,2021,5,575,516,3.5,"1,03,200"
Koenigsegg,Jesko,2022,5,1280,1106,2.5,"28,00,000"
Lexus,LC,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,04,200"
Maserati,GranTurismo,2021,4.7,454,384,4.7,"1,33,050"
McLaren,570S,2021,3.8,562,443,3.1,"1,96,350"
Mercedes-Benz,AMG C63,2022,4,503,516,3.8,"69,900"
Pagani,Huayra BC,2021,6,791,774,2.7,"26,00,000"
Porsche,Cayman GT4,2022,4,414,309,4.2,"1,02,900"
Rimac,Nevera,2022,Electric,1914,1696,1.85,"24,00,000"
Rolls-Royce,Wraith,2021,6.7,624,605,4.4,"3,38,000"
Tesla,Roadster,2022,Electric,1000+,"10,000+",1.9,"2,00,000"
Acura,NSX,2022,3.5,573,476,2.7,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,50,000"
Bentley,Continental GT,2021,6,626,664,3.6,"2,18,400"
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"73,000"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,04,970"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,32,400"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,01,200"
Tesla,Roadster,2023,Electric,"1,000+",737,< 1.9,"2,00,000"
Alpine,A110,2021,1.8,288,236,4.4,"71,500"
Audi,RS7,2021,4,591,590,3.5,"1,14,000"
BMW,M4,2021,3,473,406,4.1,"71,800"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195"
Dodge,Viper,2017,8.4,645,600,3.3,"1,18,795"
Ferrari,Portofino,2021,3.9,591,560,3.5,"2,18,750"
Jaguar,F-Type,2022,3,296,295,5.4,"61,600"
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"5,17,700"
McLaren,600LT,2021,3.8,592,457,2.8,"2,40,000"
Aston Martin,DB11,2021,5.2,630,516,3.5,"2,21,400"
Bentley,Continental GT,2021,6,626,664,3.6,"2,02,500"
Bugatti,Chiron,2022,8,1500,1180,2.4,"30,00,000"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,100"
Jaguar,F-Type R,2022,5,575,516,3.5,"1,03,200"
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"28,00,000"
Lexus,LC 500,2021,5,471,398,4.4,"92,950"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,00,450"
Maserati,GranTurismo,2021,4.7,454,384,4.8,"1,50,980"
McLaren,Artura,2022,3,671,531,3,"2,25,000"
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550"
Pagani,Huayra,2021,6,764,738,2.8,"35,00,000"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,550"
Rimac,C_Two,2022,N/A,1888,1696,1.8,"24,00,000"
Rolls-Royce,Wraith,2021,6.6,624,642,4.4,"3,30,000"
Tesla,Roadster,2022,N/A,10000+,0,1.9,"2,00,000"
Toyota,Supra,2022,3,382,368,3.9,"43,090"
Acura,NSX,2021,3.5,573,476,2.7,"1,57,500"
Aston Martin,Vantage,2021,4,503,505,3.5,"1,46,000"
Bentley,Continental GT,2022,4,542,568,3.9,"2,07,825"
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
Jaguar,F-Type,2022,3,380,339,4.8,"62,250"
Lexus,LC 500,2022,5,471,398,4.4,"92,000"
Lotus,Evora GT,2021,3.5,416,317,3.8,"1,05,000"
Maserati,GranTurismo,2022,4.7,454,384,4.7,"1,34,300"
McLaren,570S,2022,3.8,562,443,2.9,"2,04,550"
Porsche,Cayman GT4,2021,4,414,309,4.2,"1,02,000"
Tesla,Model S Plaid,2021,Electric (tri-motor),1020,1050,1.9,"1,41,190"
Audi,RS 5,2021,2.9,444,443,3.5,"75,100"
BMW,M2 Competition,2022,3,405,406,4,"59,895"
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,995"
Dodge,Viper ACR,2017,8.4,645,600,3.3,"1,26,190"
Ford,GT,2021,3.5,660,550,2.9,"5,00,000"
Porsche,Taycan 4S,2022,2.5,482,472,3.8,"1,02,900"
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"4,17,650"
Aston Martin,DB11,2021,5.2,630,516,3.5,"2,05,000"
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"81,250"
Audi,RS7 Sportback,2022,4,591,590,3.5,"1,15,045"
BMW,M4 Competition,2021,3,503,479,3.9,"75,695"
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"42,000"
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490"
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"2,74,280"
Ford,GT,2021,3.5,660,550,2.8,"5,00,000"
